2022-04-18 02:45:55,252 Epoch 3 | Batch 410/600 | loss 2.891736 | avg_loss 2.869137
2022-04-18 02:45:56,845 Epoch 3 | Batch 420/600 | loss 2.635306 | avg_loss 2.865341
2022-04-18 02:45:58,671 Epoch 3 | Batch 430/600 | loss 2.770483 | avg_loss 2.864536
2022-04-18 02:45:59,052 Epoch 3 | Batch 440/600 | loss 2.785284 | avg_loss 2.863318
2022-04-18 02:46:00,454 Epoch 3 | Batch 450/600 | loss 3.042121 | avg_loss 2.864875
2022-04-18 02:46:01,645 Epoch 3 | Batch 460/600 | loss 2.845569 | avg_loss 2.864399
2022-04-18 02:46:02,938 Epoch 3 | Batch 470/600 | loss 2.723365 | avg_loss 2.863599
2022-04-18 02:46:04,372 Epoch 3 | Batch 480/600 | loss 2.984789 | avg_loss 2.863918
2022-04-18 02:46:05,962 Epoch 3 | Batch 490/600 | loss 2.740867 | avg_loss 2.862678
2022-04-18 02:46:06,259 Epoch 3 | Batch 500/600 | loss 2.962846 | avg_loss 2.863041
2022-04-18 02:46:07,664 Epoch 3 | Batch 510/600 | loss 2.793323 | avg_loss 2.862859
2022-04-18 02:46:08,965 Epoch 3 | Batch 520/600 | loss 2.804322 | avg_loss 2.863981
2022-04-18 02:46:10,267 Epoch 3 | Batch 530/600 | loss 2.915031 | avg_loss 2.863674
2022-04-18 02:46:11,257 Epoch 3 | Batch 540/600 | loss 2.880881 | avg_loss 2.862309
2022-04-18 02:46:12,456 Epoch 3 | Batch 550/600 | loss 3.093998 | avg_loss 2.861146
2022-04-18 02:46:12,967 Epoch 3 | Batch 560/600 | loss 2.715006 | avg_loss 2.860328
2022-04-18 02:46:14,267 Epoch 3 | Batch 570/600 | loss 2.734124 | avg_loss 2.858318
2022-04-18 02:46:15,569 Epoch 3 | Batch 580/600 | loss 2.762386 | avg_loss 2.858089
2022-04-18 02:46:16,093 Epoch 3 | Batch 590/600 | loss 3.155491 | avg_loss 2.857036
2022-04-18 02:46:19,060 Epoch 4 | Batch 0/600 | loss 3.153550 | avg_loss 3.153550
2022-04-18 02:46:20,146 Epoch 4 | Batch 10/600 | loss 2.715745 | avg_loss 2.939510
2022-04-18 02:46:21,858 Epoch 4 | Batch 20/600 | loss 2.922054 | avg_loss 2.813097
2022-04-18 02:46:23,449 Epoch 4 | Batch 30/600 | loss 2.416378 | avg_loss 2.786092
2022-04-18 02:46:25,158 Epoch 4 | Batch 40/600 | loss 2.867151 | avg_loss 2.767981
2022-04-18 02:46:25,666 Epoch 4 | Batch 50/600 | loss 2.982944 | avg_loss 2.777373
2022-04-18 02:46:27,436 Epoch 4 | Batch 60/600 | loss 2.855950 | avg_loss 2.775661
2022-04-18 02:46:28,649 Epoch 4 | Batch 70/600 | loss 3.097780 | avg_loss 2.783813
2022-04-18 02:46:30,146 Epoch 4 | Batch 80/600 | loss 2.500406 | avg_loss 2.784951
2022-04-18 02:46:30,547 Epoch 4 | Batch 90/600 | loss 2.708244 | avg_loss 2.782493
2022-04-18 02:46:31,950 Epoch 4 | Batch 100/600 | loss 2.409060 | avg_loss 2.774549
2022-04-18 02:46:33,466 Epoch 4 | Batch 110/600 | loss 2.680771 | avg_loss 2.776965
2022-04-18 02:46:34,862 Epoch 4 | Batch 120/600 | loss 2.345622 | avg_loss 2.772458
2022-04-18 02:46:36,052 Epoch 4 | Batch 130/600 | loss 2.789983 | avg_loss 2.777961
2022-04-18 02:46:37,869 Epoch 4 | Batch 140/600 | loss 2.878945 | avg_loss 2.774732
2022-04-18 02:46:38,160 Epoch 4 | Batch 150/600 | loss 2.676814 | avg_loss 2.771425
2022-04-18 02:46:39,456 Epoch 4 | Batch 160/600 | loss 2.484332 | avg_loss 2.777855
2022-04-18 02:46:40,748 Epoch 4 | Batch 170/600 | loss 2.696825 | avg_loss 2.778453
2022-04-18 02:46:42,045 Epoch 4 | Batch 180/600 | loss 2.716576 | avg_loss 2.777375
2022-04-18 02:46:43,166 Epoch 4 | Batch 190/600 | loss 2.754137 | avg_loss 2.782960
2022-04-18 02:46:44,574 Epoch 4 | Batch 200/600 | loss 2.782737 | avg_loss 2.780441
2022-04-18 02:46:46,165 Epoch 4 | Batch 210/600 | loss 3.128467 | avg_loss 2.779729
2022-04-18 02:46:47,357 Epoch 4 | Batch 220/600 | loss 2.355983 | avg_loss 2.779122
2022-04-18 02:46:47,763 Epoch 4 | Batch 230/600 | loss 2.537182 | avg_loss 2.776491
2022-04-18 02:46:49,243 Epoch 4 | Batch 240/600 | loss 2.752744 | avg_loss 2.771945
2022-04-18 02:46:50,664 Epoch 4 | Batch 250/600 | loss 2.611979 | avg_loss 2.771476
2022-04-18 02:46:52,143 Epoch 4 | Batch 260/600 | loss 2.788691 | avg_loss 2.773918
2022-04-18 02:46:53,267 Epoch 4 | Batch 270/600 | loss 2.594666 | avg_loss 2.774054
2022-04-18 02:46:54,547 Epoch 4 | Batch 280/600 | loss 2.318140 | avg_loss 2.769572
